RespondentID,Lot_A_or_B,Do_you_ever_smoke_cigarettes_,Do_you_ever_drink_alcohol_,Do_you_ever_gamble_,Have_you_ever_been_skydiving_,Do_you_ever_drive_above_the_speed_limit_,Have_you_ever_cheated_on_your_significant_other_,Do_you_eat_steak_,How_do_you_like_your_steak_prepared_,Gender,Age,Household_Income,Education,Location__Census_Region_
3234922412.0,Lottery B,No,Yes,Yes,No,Yes,Yes,Yes,Medium,Male,> 60,"$100,000 - $149,999",Bachelor degree,Pacific
3234922346.0,Lottery A,No,Yes,Yes,No,Yes,Yes,Yes,Medium Well,Male,45-60,"$50,000 - $99,999",Some college or Associate degree,South Atlantic
3234921417.0,Lottery B,Yes,Yes,Yes,No,Yes,No,Yes,Medium,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,West South Central
3234918764.0,Lottery A,No,No,Yes,No,Yes,No,Yes,Medium rare,Male,45-60,"$0 - $24,999",Some college or Associate degree,New England
3234918715.0,Lottery B,No,No,No,No,Yes,No,Yes,Medium Well,Male,45-60,"$50,000 - $99,999",Bachelor degree,South Atlantic
3234915418.0,Lottery A,Yes,Yes,No,No,Yes,No,Yes,Medium Well,Male,> 60,"$50,000 - $99,999",Graduate degree,Middle Atlantic
3234914768.0,Lottery A,No,Yes,Yes,No,Yes,No,Yes,Medium rare,Male,> 60,"$150,000+",Bachelor degree,West North Central
3234911137.0,Lottery A,No,Yes,Yes,No,Yes,Yes,Yes,Medium,Male,45-60,"$150,000+",Bachelor degree,South Atlantic
3234910999.0,Lottery B,No,Yes,Yes,No,Yes,No,Yes,Medium,Male,> 60,"$50,000 - $99,999",Bachelor degree,Pacific
3234910677.0,Lottery A,No,Yes,Yes,No,Yes,No,Yes,Medium,Male,> 60,"$100,000 - $149,999",Some college or Associate degree,East North Central
3234910265.0,Lottery B,No,No,No,No,Yes,Yes,Yes,Medium rare,Male,18-29,"$100,000 - $149,999",Some college or Associate degree,West South Central
3234908311.0,Lottery B,No,Yes,Yes,No,Yes,No,Yes,Medium rare,Male,> 60,"$50,000 - $99,999",Bachelor degree,East North Central
3234908086.0,Lottery A,No,Yes,No,No,Yes,Yes,Yes,Medium rare,Male,45-60,"$50,000 - $99,999",Some college or Associate degree,Pacific
3234905473.0,Lottery B,No,Yes,No,No,Yes,No,Yes,Medium,Male,18-29,"$50,000 - $99,999",Some college or Associate degree,South Atlantic
3234899967.0,Lottery A,No,Yes,Yes,No,Yes,No,Yes,Medium,Male,> 60,"$50,000 - $99,999",Bachelor degree,Pacific
3234899145.0,Lottery B,Yes,Yes,No,No,No,Yes,Yes,Medium rare,Male,18-29,"$0 - $24,999",Some college or Associate degree,South Atlantic
3234897030.0,Lottery A,No,Yes,No,No,Yes,No,Yes,Medium rare,Female,> 60,"$100,000 - $149,999",Bachelor degree,New England
3234896600.0,Lottery B,Yes,Yes,Yes,No,Yes,Yes,Yes,Medium Well,Male,30-44,"$50,000 - $99,999",Bachelor degree,East North Central
3234895207.0,Lottery B,No,Yes,Yes,No,Yes,No,Yes,Medium rare,Male,45-60,"$100,000 - $149,999",Bachelor degree,Middle Atlantic
3234894987.0,Lottery B,No,No,Yes,No,No,No,Yes,Medium Well,Male,> 60,"$25,000 - $49,999",Some college or Associate degree,East South Central
3234894892.0,Lottery B,No,Yes,No,No,Yes,No,Yes,Rare,Male,30-44,"$25,000 - $49,999",Bachelor degree,Pacific
3234893663.0,Lottery B,No,Yes,No,No,Yes,Yes,Yes,Medium Well,Male,> 60,"$150,000+",Bachelor degree,New England
3234893368.0,Lottery A,No,Yes,No,No,Yes,No,Yes,Medium,Male,18-29,"$25,000 - $49,999",Graduate degree,West North Central
3234893232.0,Lottery B,No,Yes,No,No,Yes,Yes,Yes,Medium rare,Female,> 60,"$50,000 - $99,999",Some college or Associate degree,East South Central
3234890248.0,Lottery B,No,Yes,Yes,No,Yes,No,Yes,Medium rare,Female,> 60,"$25,000 - $49,999",Graduate degree,West North Central
3234889696.0,Lottery A,No,Yes,No,No,Yes,No,Yes,Medium rare,Female,> 60,"$100,000 - $149,999",Graduate degree,East North Central
3234889548.0,Lottery B,Yes,No,Yes,No,Yes,Yes,Yes,Medium rare,Female,> 60,"$0 - $24,999",Bachelor degree,Pacific
3234889313.0,Lottery A,No,No,No,No,Yes,No,Yes,Medium,Male,18-29,"$100,000 - $149,999",Some college or Associate degree,South Atlantic
3234888994.0,Lottery B,No,Yes,No,No,Yes,No,Yes,Medium rare,Male,18-29,"$0 - $24,999",Bachelor degree,East South Central
3234888428.0,Lottery A,No,Yes,Yes,No,Yes,No,Yes,Medium Well,Male,45-60,"$100,000 - $149,999",Bachelor degree,Pacific
3234888305.0,Lottery B,No,Yes,No,No,Yes,No,Yes,Medium,Female,> 60,"$50,000 - $99,999",Graduate degree,West North Central
3234888125.0,Lottery B,No,Yes,Yes,No,No,No,Yes,Medium Well,Female,> 60,"$0 - $24,999",High school degree,Middle Atlantic
3234887530.0,Lottery A,No,No,Yes,No,Yes,No,Yes,Well,Male,45-60,"$50,000 - $99,999",Some college or Associate degree,Pacific
3234886754.0,Lottery A,No,Yes,Yes,No,Yes,No,Yes,Medium rare,Male,45-60,"$100,000 - $149,999",High school degree,East South Central
3234886625.0,Lottery B,No,No,Yes,No,No,No,Yes,Medium rare,Male,18-29,"$50,000 - $99,999",High school degree,Middle Atlantic
3234884675.0,Lottery B,No,Yes,No,No,Yes,No,Yes,Medium rare,Male,45-60,"$100,000 - $149,999",Bachelor degree,Middle Atlantic
3234884132.0,Lottery A,No,Yes,Yes,No,No,No,Yes,Medium,Female,> 60,"$25,000 - $49,999",High school degree,Middle Atlantic
3234882939.0,Lottery A,No,No,No,No,Yes,No,Yes,Medium,Male,30-44,"$25,000 - $49,999",Some college or Associate degree,Mountain
3234882580.0,Lottery A,No,Yes,Yes,No,Yes,No,Yes,Rare,Male,45-60,"$100,000 - $149,999",Bachelor degree,Middle Atlantic
3234882106.0,Lottery A,No,Yes,Yes,No,Yes,No,Yes,Medium Well,Male,> 60,"$50,000 - $99,999",Some college or Associate degree,Mountain
3234881800.0,Lottery A,No,Yes,Yes,No,Yes,No,Yes,Medium Well,Male,30-44,"$25,000 - $49,999",Some college or Associate degree,South Atlantic
3234880920.0,Lottery B,No,No,Yes,No,Yes,No,Yes,Medium,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,East South Central
3234880646.0,Lottery B,No,Yes,Yes,Yes,Yes,Yes,Yes,Medium,Male,30-44,"$100,000 - $149,999",Bachelor degree,Middle Atlantic
3234880264.0,Lottery B,No,Yes,Yes,No,Yes,No,Yes,Medium rare,Male,30-44,"$100,000 - $149,999",Graduate degree,Pacific
3234878934.0,Lottery A,No,Yes,No,No,Yes,No,Yes,Medium,Male,30-44,"$100,000 - $149,999",Bachelor degree,East North Central
3234878909.0,Lottery A,No,Yes,Yes,No,Yes,No,Yes,Medium,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,East North Central
3234878810.0,Lottery A,No,No,No,No,Yes,No,Yes,Medium rare,Female,> 60,"$25,000 - $49,999",Bachelor degree,East North Central
3234877084.0,Lottery B,No,Yes,Yes,No,Yes,No,Yes,Medium rare,Female,> 60,"$150,000+",Graduate degree,South Atlantic
3234874602.0,Lottery B,No,Yes,Yes,No,Yes,No,Yes,Medium Well,Male,> 60,"$25,000 - $49,999",Some college or Associate degree,South Atlantic
3234874404.0,Lottery A,Yes,Yes,Yes,No,Yes,Yes,Yes,Medium,Male,30-44,"$150,000+",Graduate degree,Middle Atlantic
3234872996.0,Lottery B,No,Yes,No,No,Yes,No,Yes,Medium rare,Male,45-60,"$50,000 - $99,999",Graduate degree,East North Central
3234872432.0,Lottery B,Yes,Yes,Yes,No,Yes,No,Yes,Medium,Male,18-29,"$0 - $24,999",High school degree,Pacific
3234871524.0,Lottery A,Yes,Yes,Yes,No,Yes,No,Yes,Medium,Female,18-29,"$25,000 - $49,999",High school degree,West North Central
3234871363.0,Lottery B,No,Yes,Yes,No,Yes,No,Yes,Medium Well,Male,> 60,"$150,000+",Graduate degree,Middle Atlantic
3234871274.0,Lottery B,Yes,Yes,Yes,No,Yes,No,Yes,Medium,Male,30-44,"$25,000 - $49,999",Some college or Associate degree,Pacific
3234871183.0,Lottery B,No,No,Yes,No,Yes,No,Yes,Medium,Male,45-60,"$150,000+",Some college or Associate degree,Pacific
3234871078.0,Lottery B,No,No,No,No,Yes,No,Yes,Medium rare,Male,45-60,"$50,000 - $99,999",Bachelor degree,South Atlantic
3234870688.0,Lottery B,No,No,No,No,Yes,Yes,Yes,Medium,Male,18-29,"$0 - $24,999",Bachelor degree,East North Central
3234870354.0,Lottery B,Yes,No,No,No,No,No,Yes,Rare,Female,> 60,"$0 - $24,999",Some college or Associate degree,Middle Atlantic
3234870079.0,Lottery B,No,No,No,No,Yes,No,Yes,Medium rare,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,New England
3234870022.0,Lottery B,No,No,Yes,No,Yes,Yes,Yes,Well,Female,18-29,"$25,000 - $49,999",Some college or Associate degree,New England
3234869188.0,Lottery A,Yes,No,No,Yes,No,No,Yes,Medium Well,Female,18-29,"$25,000 - $49,999",High school degree,Middle Atlantic
3234868937.0,Lottery A,Yes,Yes,Yes,No,Yes,No,Yes,Well,Male,45-60,"$50,000 - $99,999",Bachelor degree,Pacific
3234868550.0,Lottery A,Yes,Yes,Yes,No,Yes,No,Yes,Medium rare,Female,18-29,"$50,000 - $99,999",Some college or Associate degree,East North Central
3234867846.0,Lottery B,No,Yes,Yes,No,Yes,No,Yes,Medium,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,South Atlantic
3234863826.0,Lottery B,No,Yes,Yes,No,No,No,Yes,Medium,Female,> 60,"$0 - $24,999",Some college or Associate degree,South Atlantic
3234863245.0,Lottery B,No,Yes,Yes,Yes,Yes,Yes,Yes,Medium rare,Male,30-44,"$50,000 - $99,999",Bachelor degree,South Atlantic
3234860196.0,Lottery B,No,Yes,Yes,No,Yes,No,Yes,Medium,Male,45-60,"$150,000+",Graduate degree,West North Central
3234859600.0,Lottery A,No,No,No,No,Yes,No,Yes,Medium,Female,> 60,"$25,000 - $49,999",Some college or Associate degree,South Atlantic
3234859297.0,Lottery A,No,Yes,No,No,Yes,No,Yes,Medium Well,Male,45-60,"$50,000 - $99,999",Some college or Associate degree,Pacific
3234859155.0,Lottery B,No,No,No,No,Yes,No,Yes,Medium rare,Male,18-29,"$50,000 - $99,999",Some college or Associate degree,East North Central
3234858232.0,Lottery A,No,Yes,Yes,No,Yes,No,Yes,Well,Male,45-60,"$100,000 - $149,999",Bachelor degree,South Atlantic
3234858171.0,Lottery B,No,No,Yes,No,Yes,No,Yes,Medium,Male,> 60,"$0 - $24,999",Bachelor degree,South Atlantic
3234858147.0,Lottery B,No,Yes,No,No,Yes,No,Yes,Medium,Male,30-44,"$100,000 - $149,999",Bachelor degree,Mountain
3234857772.0,Lottery B,Yes,Yes,No,No,Yes,No,Yes,Medium rare,Female,45-60,"$100,000 - $149,999",Graduate degree,East North Central
3234856888.0,Lottery B,No,No,No,No,Yes,No,Yes,Medium Well,Female,18-29,"$100,000 - $149,999",Some college or Associate degree,East South Central
3234855952.0,Lottery B,No,Yes,No,No,Yes,No,Yes,Well,Female,> 60,"$50,000 - $99,999",Bachelor degree,Pacific
3234855780.0,Lottery B,No,No,No,No,Yes,Yes,Yes,Medium Well,Female,18-29,"$0 - $24,999",Some college or Associate degree,Middle Atlantic
3234855514.0,Lottery A,No,Yes,Yes,No,Yes,Yes,Yes,Medium Well,Female,30-44,"$50,000 - $99,999",Graduate degree,South Atlantic
3234855107.0,Lottery A,No,Yes,Yes,No,Yes,No,Yes,Well,Male,> 60,"$0 - $24,999",Bachelor degree,West South Central
3234854914.0,Lottery B,No,Yes,Yes,No,Yes,Yes,Yes,Rare,Female,30-44,"$150,000+",Some college or Associate degree,Pacific
3234853658.0,Lottery B,No,Yes,No,No,Yes,No,Yes,Medium rare,Male,30-44,"$50,000 - $99,999",Graduate degree,South Atlantic
3234853330.0,Lottery A,No,Yes,No,No,Yes,No,Yes,Medium,Female,18-29,"$50,000 - $99,999",Graduate degree,Middle Atlantic
3234853280.0,Lottery B,Yes,Yes,Yes,No,Yes,No,Yes,Medium rare,Female,18-29,"$150,000+",Graduate degree,Middle Atlantic
3234853259.0,Lottery A,No,Yes,No,No,Yes,Yes,Yes,Rare,Female,> 60,"$25,000 - $49,999",Graduate degree,Pacific
3234853003.0,Lottery B,Yes,Yes,No,No,Yes,No,Yes,Well,Female,18-29,"$100,000 - $149,999",Less than high school degree,Pacific
3234852348.0,Lottery A,No,Yes,No,No,Yes,No,Yes,Medium rare,Male,30-44,"$25,000 - $49,999",Some college or Associate degree,East South Central
3234852078.0,Lottery A,No,Yes,Yes,No,Yes,No,Yes,Medium Well,Male,45-60,"$100,000 - $149,999",Bachelor degree,East North Central
3234851430.0,Lottery A,No,Yes,Yes,No,Yes,No,Yes,Medium rare,Female,18-29,"$150,000+",Bachelor degree,New England
3234849033.0,Lottery B,No,Yes,Yes,No,Yes,No,Yes,Well,Female,30-44,"$50,000 - $99,999",Graduate degree,East North Central
3234848751.0,Lottery B,No,No,No,No,Yes,No,Yes,Well,Female,30-44,"$50,000 - $99,999",Bachelor degree,South Atlantic
3234848656.0,Lottery B,No,Yes,Yes,No,Yes,No,Yes,Medium rare,Male,45-60,"$50,000 - $99,999",Some college or Associate degree,West North Central
3234848624.0,Lottery A,No,Yes,No,Yes,Yes,No,Yes,Medium rare,Female,30-44,"$100,000 - $149,999",Graduate degree,West South Central
3234848231.0,Lottery B,No,Yes,Yes,No,Yes,No,Yes,Medium rare,Female,45-60,"$50,000 - $99,999",Some college or Associate degree,South Atlantic
3234847835.0,Lottery A,No,Yes,Yes,No,Yes,Yes,Yes,Medium,Male,30-44,"$100,000 - $149,999",Bachelor degree,Middle Atlantic
3234847724.0,Lottery B,No,Yes,Yes,No,Yes,No,Yes,Medium rare,Male,30-44,"$25,000 - $49,999",Bachelor degree,East North Central
3234847389.0,Lottery A,No,Yes,No,No,Yes,Yes,Yes,Medium,Male,18-29,"$50,000 - $99,999",Bachelor degree,Middle Atlantic
3234846945.0,Lottery B,No,Yes,Yes,No,Yes,No,Yes,Medium rare,Female,30-44,"$50,000 - $99,999",Bachelor degree,West North Central
3234846787.0,Lottery B,No,Yes,Yes,No,Yes,No,Yes,Medium Well,Female,30-44,"$100,000 - $149,999",Graduate degree,East North Central
3234846164.0,Lottery B,No,Yes,No,No,Yes,No,Yes,Medium rare,Female,> 60,"$150,000+",Bachelor degree,West North Central
3234846005.0,Lottery A,No,Yes,No,No,Yes,No,Yes,Medium,Female,45-60,"$150,000+",Bachelor degree,West South Central
3234845685.0,Lottery B,No,Yes,Yes,No,Yes,No,Yes,Medium rare,Female,> 60,"$25,000 - $49,999",High school degree,South Atlantic
3234845146.0,Lottery A,No,Yes,No,No,Yes,Yes,Yes,Medium Well,Female,45-60,"$50,000 - $99,999",Graduate degree,South Atlantic
3234845017.0,Lottery A,No,Yes,No,No,Yes,No,Yes,Medium,Male,> 60,"$50,000 - $99,999",Graduate degree,South Atlantic
3234844263.0,Lottery B,No,Yes,No,No,Yes,No,Yes,Medium rare,Female,30-44,"$50,000 - $99,999",Bachelor degree,West South Central
3234844257.0,Lottery B,No,Yes,Yes,No,No,No,Yes,Well,Female,45-60,"$100,000 - $149,999",Bachelor degree,Mountain
3234844077.0,Lottery A,No,No,No,No,Yes,No,Yes,Medium,Female,45-60,"$25,000 - $49,999",Some college or Associate degree,Pacific
3234843837.0,Lottery A,No,Yes,Yes,No,Yes,No,Yes,Medium,Male,45-60,"$50,000 - $99,999",Some college or Associate degree,Middle Atlantic
3234843826.0,Lottery B,No,Yes,Yes,No,Yes,No,Yes,Medium rare,Female,45-60,"$50,000 - $99,999",Graduate degree,West North Central
3234843714.0,Lottery B,No,Yes,No,No,Yes,Yes,Yes,Well,Female,45-60,"$50,000 - $99,999",Bachelor degree,Middle Atlantic
3234843229.0,Lottery A,No,Yes,Yes,No,Yes,No,Yes,Medium Well,Female,30-44,"$25,000 - $49,999",Bachelor degree,South Atlantic
3234843170.0,Lottery A,No,Yes,Yes,No,Yes,No,Yes,Medium rare,Male,> 60,"$50,000 - $99,999",Graduate degree,East South Central
3234843097.0,Lottery B,No,Yes,Yes,No,Yes,Yes,Yes,Medium,Female,30-44,"$150,000+",Bachelor degree,New England
3234843042.0,Lottery B,No,Yes,No,No,Yes,No,Yes,Medium Well,Female,18-29,"$50,000 - $99,999",Graduate degree,West South Central
3234842555.0,Lottery B,No,Yes,No,No,Yes,No,Yes,Medium,Female,30-44,"$50,000 - $99,999",Bachelor degree,South Atlantic
3234842077.0,Lottery B,No,Yes,No,No,Yes,No,Yes,Medium Well,Female,18-29,"$0 - $24,999",Some college or Associate degree,South Atlantic
3234841276.0,Lottery B,No,Yes,No,No,Yes,Yes,Yes,Medium,Male,> 60,"$50,000 - $99,999",Some college or Associate degree,Middle Atlantic
3234840931.0,Lottery B,No,Yes,Yes,No,Yes,No,Yes,Rare,Male,45-60,"$100,000 - $149,999",Graduate degree,Middle Atlantic
3234840455.0,Lottery A,No,No,No,No,Yes,No,Yes,Well,Female,45-60,"$150,000+",Bachelor degree,South Atlantic
3234840017.0,Lottery B,No,No,No,No,No,No,Yes,Medium rare,Female,> 60,"$25,000 - $49,999",Some college or Associate degree,Middle Atlantic
3234839875.0,Lottery B,No,Yes,Yes,No,Yes,No,Yes,Medium rare,Female,30-44,"$25,000 - $49,999",Bachelor degree,New England
3234839680.0,Lottery A,Yes,Yes,Yes,No,Yes,No,Yes,Rare,Female,30-44,"$50,000 - $99,999",Some college or Associate degree,West North Central
3234839467.0,Lottery B,No,Yes,No,No,Yes,No,Yes,Medium,Female,> 60,"$150,000+",Bachelor degree,South Atlantic
3234839418.0,Lottery A,No,Yes,Yes,No,Yes,No,Yes,Medium,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,Pacific
3234839160.0,Lottery B,No,Yes,Yes,No,Yes,No,Yes,Medium,Female,30-44,"$100,000 - $149,999",Graduate degree,West North Central
3234839073.0,Lottery A,No,Yes,Yes,No,Yes,No,Yes,Rare,Female,> 60,"$50,000 - $99,999",Some college or Associate degree,Pacific
3234838520.0,Lottery B,Yes,Yes,Yes,No,No,No,Yes,Medium rare,Male,30-44,"$25,000 - $49,999",Some college or Associate degree,Pacific
3234838368.0,Lottery A,Yes,Yes,No,No,Yes,No,Yes,Medium rare,Female,18-29,"$0 - $24,999",Graduate degree,East South Central
3234837889.0,Lottery A,Yes,Yes,Yes,Yes,Yes,No,Yes,Medium Well,Female,30-44,"$50,000 - $99,999",Some college or Associate degree,Middle Atlantic
3234837794.0,Lottery A,No,Yes,No,No,Yes,No,Yes,Medium,Female,> 60,"$25,000 - $49,999",High school degree,New England
3234837477.0,Lottery A,Yes,Yes,Yes,No,Yes,No,Yes,Medium,Male,18-29,"$100,000 - $149,999",Bachelor degree,Pacific
3234836798.0,Lottery A,No,Yes,No,No,Yes,No,Yes,Medium Well,Female,30-44,"$50,000 - $99,999",Bachelor degree,New England
3234836496.0,Lottery B,No,Yes,Yes,No,Yes,No,Yes,Rare,Female,45-60,"$100,000 - $149,999",Graduate degree,South Atlantic
3234836354.0,Lottery A,No,Yes,No,Yes,Yes,No,Yes,Medium rare,Female,45-60,"$50,000 - $99,999",Bachelor degree,New England
3234835855.0,Lottery A,No,Yes,No,No,Yes,No,Yes,Medium Well,Male,45-60,"$50,000 - $99,999",Bachelor degree,West North Central
3234835019.0,Lottery B,Yes,Yes,Yes,No,Yes,No,Yes,Medium rare,Female,18-29,"$100,000 - $149,999",Bachelor degree,East North Central
3234834715.0,Lottery B,No,Yes,No,No,Yes,No,Yes,Rare,Female,> 60,"$100,000 - $149,999",Bachelor degree,Middle Atlantic
3234834302.0,Lottery B,No,Yes,No,Yes,No,No,Yes,Medium,Female,45-60,"$25,000 - $49,999",Some college or Associate degree,East South Central
3234834174.0,Lottery A,No,Yes,Yes,No,Yes,No,Yes,Well,Female,45-60,"$100,000 - $149,999",Some college or Associate degree,East North Central
3234834071.0,Lottery A,No,Yes,Yes,No,Yes,No,Yes,Medium rare,Male,> 60,"$50,000 - $99,999",Bachelor degree,Middle Atlantic
3234833617.0,Lottery B,No,Yes,No,No,Yes,No,Yes,Medium rare,Female,18-29,"$25,000 - $49,999",Bachelor degree,South Atlantic
3234833027.0,Lottery A,No,Yes,No,No,Yes,No,Yes,Medium,Female,18-29,"$50,000 - $99,999",Bachelor degree,West North Central
3234832934.0,Lottery B,No,Yes,Yes,Yes,Yes,No,Yes,Medium rare,Male,30-44,"$100,000 - $149,999",Bachelor degree,West South Central
3234832916.0,Lottery A,Yes,Yes,Yes,No,Yes,Yes,Yes,Medium,Male,18-29,"$0 - $24,999",Some college or Associate degree,Mountain
3234831237.0,Lottery A,No,Yes,No,No,Yes,No,Yes,Medium rare,Female,30-44,"$0 - $24,999",Some college or Associate degree,Pacific
3234831171.0,Lottery A,No,No,No,No,Yes,No,Yes,Medium,Male,18-29,"$50,000 - $99,999",Bachelor degree,East North Central
3234830173.0,Lottery A,Yes,Yes,Yes,No,Yes,No,Yes,Medium rare,Female,18-29,"$25,000 - $49,999",Some college or Associate degree,East North Central
3234829440.0,Lottery B,No,Yes,No,No,Yes,No,Yes,Medium rare,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,Pacific
3234828740.0,Lottery A,No,Yes,No,No,Yes,No,Yes,Medium,Male,18-29,"$25,000 - $49,999",Bachelor degree,South Atlantic
3234828054.0,Lottery B,No,Yes,No,No,Yes,No,Yes,Medium rare,Female,45-60,"$50,000 - $99,999",Some college or Associate degree,Mountain
3234827864.0,Lottery B,No,Yes,No,No,No,No,Yes,Medium,Female,30-44,"$150,000+",Bachelor degree,Middle Atlantic
3234827747.0,Lottery A,No,Yes,Yes,Yes,Yes,No,Yes,Medium,Female,18-29,"$100,000 - $149,999",Bachelor degree,Pacific
3234826323.0,Lottery B,No,Yes,Yes,No,Yes,No,Yes,Medium rare,Male,30-44,"$25,000 - $49,999",Graduate degree,West North Central
3234825833.0,Lottery B,No,No,No,No,Yes,No,Yes,Medium Well,Female,45-60,"$150,000+",Bachelor degree,New England
3234824537.0,Lottery B,No,Yes,No,No,Yes,No,Yes,Medium Well,Male,18-29,"$0 - $24,999",Bachelor degree,East North Central
3234824435.0,Lottery A,No,Yes,Yes,No,Yes,Yes,Yes,Medium rare,Male,30-44,"$25,000 - $49,999",Some college or Associate degree,South Atlantic
3234824072.0,Lottery A,No,Yes,Yes,No,Yes,Yes,Yes,Medium rare,Female,> 60,"$25,000 - $49,999",Some college or Associate degree,East North Central
3234824047.0,Lottery B,No,Yes,No,No,Yes,No,Yes,Medium,Female,18-29,"$150,000+",Some college or Associate degree,South Atlantic
